Time [s],Channel,Value
0.000008595,2,46556
0.000019935,1,46829
0.000031280,2,46829
0.000042620,1,46896
0.000053960,2,46896
0.000065300,1,47260
0.000076645,2,47260
0.000087985,1,47466
0.000099325,2,47466
0.000110670,1,48214
0.000122010,2,48214
0.000133350,1,48717
0.000144690,2,48717
0.000156035,1,49204
0.000167375,2,49204
0.000178715,1,49892
0.000190060,2,49892
0.000201400,1,50658
0.000212740,2,50658
0.000224080,1,51465
0.000235425,2,51465
0.000246765,1,52574
0.000258105,2,52574
0.000269445,1,53898
0.000280790,2,53898
0.000292130,1,54399
0.000303470,2,54399
0.000314810,1,55491
0.000326155,2,55491
0.000337495,1,56416
0.000348835,2,56416
0.000360180,1,57432
0.000371520,2,57432
0.000382860,1,58653
0.000394205,2,58653
0.000405545,1,59734
0.000416885,2,59734
0.000428225,1,60924
0.000439570,2,60924
0.000450910,1,62030
0.000462250,2,62030
0.000473590,1,63208
0.000484935,2,63208
0.000496275,1,64376
0.000507615,2,64376
0.000518960,1,65424
0.000530300,2,65424
0.000541640,1,1378
0.000552980,2,1378
0.000564320,1,2732
0.000575665,2,2732
0.000587005,1,3733
0.000598345,2,3733
0.000609690,1,5880
0.000621030,2,5880
0.000632370,1,7216
0.000643715,2,7216
0.000655055,1,7289
0.000666395,2,7289
0.000677735,1,8340
0.000689075,2,8340
0.000700420,1,9458
0.000711760,2,9458
0.000723100,1,10445
0.000734445,2,10445
0.000745785,1,11352
0.000757125,2,11352
0.000768465,1,12225
0.000779810,2,12225
0.000791150,1,13011
0.000802490,2,13011
0.000813835,1,13745
0.000825175,2,13745
0.000836515,1,14733
0.000847855,2,14733
0.000859200,1,15451
0.000870540,2,15451
0.000881880,1,16035
0.000893225,2,16035
0.000904565,1,16573
0.000915905,2,16573
0.000927245,1,16831
0.000938590,2,16831
0.000949930,1,17273
0.000961270,2,17273
0.000972610,1,17864
0.000983955,2,17864
0.000995295,1,18089
0.001006635,2,18089
0.001017980,1,18319
0.001029320,2,18319
0.001040660,1,18489
0.001052000,2,18489
0.001063345,1,18412
0.001074685,2,18412
0.001086025,1,18715
0.001097370,2,18715
0.001108710,1,18413
0.001120050,2,18413
0.001131390,1,18270
0.001142735,2,18270
